Year,Month,Day,Hour,Air Temperature,Dew Point Temperature,Sea Level Pressure,Wind Direction,Wind Speed Rate,Sky Condition Total Coverage Code,One Hour Liquid Precipitation Depth,Six Hour Liquid Precipitation Depth
2015,1,1,0,0.6,-5.0,1031.7,10,5.7,8,-999.9,-999.9
2015,1,1,1,0.6,-5.0,1032.3,10,4.1,-9999,0.0,-999.9
2015,1,1,2,1.1,-5.0,1032.2,10,4.1,-9999,0.0,-999.9
2015,1,1,3,1.1,-5.0,1032.1,360,4.1,8,0.0,-999.9
2015,1,1,4,1.1,-5.0,1032.0,360,3.1,-9999,0.0,-999.9
2015,1,1,5,1.1,-3.9,1031.1,30,2.1,-9999,-0.1,-999.9
2015,1,1,6,0.6,-5.0,1030.0,20,3.6,8,0.0,0.0
2015,1,1,7,1.1,-5.0,1029.6,30,2.6,-9999,0.0,-999.9
2015,1,1,8,0.6,-5.0,1028.7,20,3.1,-9999,0.0,-999.9
2015,1,1,9,0.0,-3.9,1028.2,10,3.6,8,-0.1,-999.9
2015,1,1,10,0.0,-3.9,1026.6,50,3.1,-9999,-0.1,-999.9
2015,1,1,11,0.6,-3.9,1027.5,350,3.6,-9999,-0.1,-999.9
2015,1,1,12,0.6,-2.8,1027.3,350,3.6,8,-0.1,-0.1
2015,1,1,13,0.0,-2.2,1027.6,350,3.6,-9999,0.5,-999.9
2015,1,1,14,0.0,-1.7,1026.6,40,2.6,-9999,4.1,-999.9
2015,1,1,15,0.0,-1.7,1027.2,30,2.1,8,-0.1,-999.9
2015,1,1,16,0.0,-1.1,1027.6,80,2.6,-9999,1.3,-999.9
2015,1,1,17,0.6,-0.6,1027.5,10,1.5,-9999,0.8,-999.9
2015,1,1,18,0.6,-0.6,1026.2,40,2.1,8,1.3,9.0
2015,1,1,19,1.1,0.0,1024.8,60,1.5,-9999,1.0,-999.9
2015,1,1,20,1.7,0.0,1024.1,350,1.5,-9999,0.3,-999.9
2015,1,1,21,1.7,0.6,1023.3,10,2.6,8,-0.1,-999.9
2015,1,1,22,1.7,1.1,1023.4,20,2.1,-9999,0.5,-999.9
2015,1,1,23,1.7,0.6,1023.5,350,3.6,-9999,-0.1,-999.9
2015,1,2,0,1.7,0.6,1023.5,10,3.6,8,0.5,3.0
2015,1,2,1,1.7,0.6,1023.7,20,2.6,-9999,0.3,-999.9
2015,1,2,2,1.7,1.1,1023.6,20,3.1,-9999,0.8,-999.9
2015,1,2,3,2.2,1.1,1023.2,40,3.6,8,-0.1,-999.9
2015,1,2,4,2.2,1.1,1023.9,360,3.1,-9999,-0.1,-999.9
2015,1,2,5,2.2,1.7,1023.6,10,2.6,-9999,2.3,-999.9
2015,1,2,6,2.2,1.7,1023.2,10,3.1,8,-0.1,3.0
2015,1,2,7,2.8,1.7,1022.5,10,3.6,-9999,-0.1,-999.9
2015,1,2,8,2.8,2.2,1022.8,10,2.1,-9999,0.0,-999.9
2015,1,2,9,2.8,1.7,1022.6,360,4.1,8,0.0,-999.9
2015,1,2,10,2.2,1.7,1022.1,10,3.6,-9999,0.0,-999.9
2015,1,2,11,2.8,2.2,1021.8,10,2.6,-9999,0.0,-999.9
2015,1,2,12,2.8,2.2,1021.5,20,3.6,8,0.0,-0.1
2015,1,2,13,2.8,2.2,1021.3,20,5.1,-9999,-0.1,-999.9
2015,1,2,14,2.8,2.2,1022.7,360,5.1,-9999,-0.1,-999.9
2015,1,2,15,2.8,2.2,1022.5,20,4.1,8,-0.1,-999.9
2015,1,2,16,3.3,2.8,1023.1,10,5.1,-9999,0.5,-999.9
2015,1,2,17,3.3,2.8,1023.0,360,4.6,-9999,1.5,-999.9
2015,1,2,18,3.3,2.8,1021.5,10,4.1,8,1.3,3.0
2015,1,2,19,3.9,2.8,-999.9,10,4.1,-9999,-0.1,-999.9
2015,1,2,20,3.9,2.8,1018.7,350,4.6,-9999,0.3,-999.9
2015,1,2,21,3.9,2.8,1018.0,20,5.1,8,-0.1,-999.9
2015,1,2,22,3.9,3.3,-999.9,350,4.1,-9999,-0.1,-999.9
2015,1,2,23,4.4,3.9,1017.7,10,3.6,-9999,0.8,-999.9
2015,1,3,0,4.4,3.9,1016.9,30,4.6,8,0.3,3.0
2015,1,3,1,4.4,3.9,1016.9,20,4.1,-9999,0.3,-999.9
2015,1,3,2,4.4,3.9,1016.3,30,3.1,-9999,0.3,-999.9
2015,1,3,3,4.4,3.9,1015.8,360,3.6,8,0.3,-999.9
2015,1,3,4,4.4,3.9,1015.7,330,3.6,-9999,0.3,-999.9
2015,1,3,5,4.4,3.9,1015.4,320,4.1,-9999,0.5,-999.9
2015,1,3,6,4.4,3.9,1013.2,10,5.1,8,2.5,4.0
2015,1,3,7,4.4,3.9,1015.5,260,4.1,-9999,3.6,-999.9
2015,1,3,8,4.4,3.9,-999.9,0,0.0,-9999,0.5,-999.9
2015,1,3,9,4.4,3.9,1011.2,80,3.6,8,1.8,-999.9
2015,1,3,10,4.4,3.9,1011.4,250,1.5,-9999,-0.1,-999.9
2015,1,3,11,4.4,3.9,1012.6,270,5.1,-9999,0.0,-999.9
2015,1,3,12,4.4,3.3,1013.8,290,3.6,8,0.0,9.0
2015,1,3,13,3.9,2.8,1013.6,290,4.1,-9999,0.0,-999.9
2015,1,3,14,3.3,2.2,1013.4,310,3.6,-9999,0.0,-999.9
2015,1,3,15,3.9,2.2,1014.4,290,4.6,8,0.0,-999.9
2015,1,3,16,4.4,2.2,1015.4,270,4.1,-9999,0.0,-999.9
2015,1,3,17,5.0,2.2,1015.4,240,2.6,-9999,0.0,-999.9
2015,1,3,18,6.1,2.8,1015.0,220,3.6,8,0.0,-999.9
2015,1,3,19,7.2,2.8,1013.2,-9999,2.1,-9999,0.0,-999.9
2015,1,3,20,8.9,3.3,1012.0,200,3.6,2,0.0,-999.9
2015,1,3,21,10.6,3.3,1011.4,190,4.1,2,0.0,-999.9
2015,1,3,22,11.7,3.3,1011.3,220,4.1,2,0.0,-999.9
2015,1,3,23,12.2,2.2,1011.7,220,5.7,2,0.0,-999.9
2015,1,4,0,9.4,2.2,1012.5,220,3.1,2,0.0,-999.9
2015,1,4,1,8.9,1.7,1013.8,250,3.1,0,0.0,-999.9
2015,1,4,2,10.6,0.6,1015.0,270,4.6,0,0.0,-999.9
2015,1,4,3,10.0,0.6,1016.0,280,4.6,0,0.0,-999.9
2015,1,4,4,8.9,1.1,1017.0,290,4.6,0,0.0,-999.9
