Year,Month,Day,Hour,Air Temperature,Dew Point Temperature,Sea Level Pressure,Wind Direction,Wind Speed Rate,Sky Condition Total Coverage Code,One Hour Liquid Precipitation Depth,Six Hour Liquid Precipitation Depth
2017,1,1,0,18.3,3.9,1007.8,330,4.1,6,-999.9,-999.9
2017,1,1,1,15.6,3.3,1008.7,340,5.1,-9999,0.0,-999.9
2017,1,1,2,14.4,2.8,1010.0,320,5.7,-9999,0.0,-999.9
2017,1,1,3,13.3,1.7,1010.4,310,4.6,6,0.0,-999.9
2017,1,1,4,12.2,1.1,1010.5,320,4.1,-9999,0.0,-999.9
2017,1,1,5,8.9,1.1,1011.0,360,2.1,-9999,0.0,-999.9
2017,1,1,6,8.9,2.2,1010.7,340,3.6,4,0.0,-999.9
2017,1,1,7,8.9,2.2,1010.2,330,2.6,4,0.0,-999.9
2017,1,1,8,8.3,3.3,1010.2,320,3.6,4,0.0,-999.9
2017,1,1,9,7.8,2.8,1010.0,330,2.6,4,0.0,-999.9
2017,1,1,10,7.2,2.8,1010.4,330,2.6,4,0.0,-999.9
2017,1,1,11,6.1,2.8,1010.5,360,3.6,-9999,0.0,-999.9
2017,1,1,12,8.9,7.8,1012.5,260,7.7,8,-0.1,-0.1
2017,1,1,13,7.8,6.1,1011.7,360,2.6,-9999,1.3,-999.9
2017,1,1,14,7.8,6.7,1011.6,0,0.0,-9999,0.5,-999.9
2017,1,1,15,8.3,7.2,1011.9,190,1.5,6,0.0,-999.9
2017,1,1,16,10.0,8.9,1013.1,250,4.6,-9999,0.0,-999.9
2017,1,1,17,10.6,7.8,1012.3,0,0.0,-9999,-0.1,-999.9
2017,1,1,18,13.9,9.4,1011.5,340,3.1,6,0.0,2.0
2017,1,1,19,16.1,9.4,1010.5,0,0.0,-9999,0.0,-999.9
2017,1,1,20,16.7,9.4,1009.4,0,0.0,-9999,0.0,-999.9
2017,1,1,21,17.8,10.6,1008.8,100,2.1,4,0.0,-999.9
2017,1,1,22,17.8,11.7,1008.9,100,2.1,-9999,0.0,-999.9
2017,1,1,23,17.8,11.7,1008.8,100,2.6,-9999,0.0,-999.9
2017,1,2,0,15.6,11.7,1008.6,120,2.1,4,0.0,-999.9
2017,1,2,1,14.4,11.1,1008.9,90,1.5,2,0.0,-999.9
2017,1,2,2,13.9,11.7,1008.8,90,2.6,2,0.0,-999.9
2017,1,2,3,13.9,12.2,1009.1,130,2.1,2,0.0,-999.9
2017,1,2,4,15.6,14.4,1009.2,130,4.1,4,0.0,-999.9
2017,1,2,5,16.7,15.6,1009.3,120,4.6,-9999,0.0,-999.9
2017,1,2,6,16.7,16.1,1009.2,140,4.1,8,0.0,-999.9
2017,1,2,7,17.2,16.1,1008.6,140,4.6,-9999,0.0,-999.9
2017,1,2,8,17.2,16.7,1007.5,130,4.6,-9999,0.0,-999.9
2017,1,2,9,17.2,17.2,1008.1,180,4.1,8,0.0,-999.9
2017,1,2,10,17.2,17.2,1007.7,210,3.6,-9999,0.0,-999.9
2017,1,2,11,16.7,16.7,-999.9,0,0.0,-9999,-0.1,-999.9
2017,1,2,12,14.4,12.8,1008.7,270,9.8,8,11.2,11.0
2017,1,2,13,13.9,12.2,1007.2,320,3.1,-9999,1.5,-999.9
2017,1,2,14,12.8,11.7,1006.9,140,2.1,-9999,0.0,-999.9
2017,1,2,15,13.9,12.8,1009.3,240,3.1,4,0.0,-999.9
2017,1,2,16,16.1,12.8,1009.9,240,3.1,2,0.0,-999.9
2017,1,2,17,17.8,11.1,1010.0,300,5.7,2,0.0,-999.9
2017,1,2,18,19.4,11.1,1009.4,270,5.7,2,0.0,2.0
2017,1,2,19,21.1,10.0,1008.8,290,5.7,4,0.0,-999.9
2017,1,2,20,22.2,8.3,1007.7,260,5.7,2,0.0,-999.9
2017,1,2,21,22.2,7.2,1006.9,240,4.1,4,0.0,-999.9
2017,1,2,22,22.2,6.1,1007.7,250,4.6,4,0.0,-999.9
2017,1,2,23,21.1,5.6,1008.4,240,4.6,4,0.0,-999.9
2017,1,3,0,20.0,5.0,1009.3,240,4.1,6,0.0,-999.9
2017,1,3,1,17.2,5.6,1009.6,220,3.1,-9999,0.0,-999.9
2017,1,3,2,15.6,5.6,1010.3,180,3.6,-9999,0.0,-999.9
2017,1,3,3,17.2,6.1,1010.4,210,4.1,8,0.0,-999.9
2017,1,3,4,16.7,6.7,1010.7,220,5.1,-9999,0.0,-999.9
2017,1,3,5,16.1,7.2,1010.8,220,4.6,-9999,0.0,-999.9
2017,1,3,6,16.1,7.2,1011.0,230,5.1,8,0.0,-999.9
2017,1,3,7,15.0,7.2,1010.5,220,4.6,-9999,0.0,-999.9
2017,1,3,8,15.0,7.2,1010.6,210,5.1,-9999,0.0,-999.9
2017,1,3,9,13.9,7.2,1010.5,210,4.6,6,0.0,-999.9
2017,1,3,10,15.0,6.7,1010.3,230,4.6,-9999,0.0,-999.9
2017,1,3,11,15.0,5.6,1010.5,260,3.1,-9999,0.0,-999.9
2017,1,3,12,13.9,5.0,1010.7,260,4.1,6,0.0,-999.9
2017,1,3,13,13.9,4.4,1011.7,300,3.6,-9999,0.0,-999.9
2017,1,3,14,12.8,4.4,1012.7,320,5.7,-9999,0.0,-999.9
2017,1,3,15,10.0,5.6,1014.6,330,7.2,6,0.0,-999.9
2017,1,3,16,8.3,5.6,1017.0,330,9.8,-9999,0.0,-999.9
2017,1,3,17,10.0,6.1,-999.9,320,8.8,-9999,0.0,-999.9
2017,1,3,18,10.6,6.1,1017.9,310,8.2,8,0.0,-999.9
2017,1,3,19,10.0,5.6,1017.8,320,8.8,-9999,0.0,-999.9
2017,1,3,20,8.9,4.4,1018.0,320,10.3,-9999,0.0,-999.9
2017,1,3,21,7.8,2.8,1018.4,330,10.3,8,0.0,-999.9
2017,1,3,22,7.2,1.7,1019.3,340,9.3,-9999,0.0,-999.9
2017,1,3,23,6.7,0.6,1019.8,340,7.2,-9999,0.0,-999.9
2017,1,4,0,5.6,-1.7,1020.5,340,9.8,8,0.0,-999.9
2017,1,4,1,5.0,-2.8,1021.1,340,9.8,-9999,0.0,-999.9
2017,1,4,2,4.4,-3.9,1021.9,340,7.7,-9999,0.0,-999.9
2017,1,4,3,4.4,-3.9,1022.9,340,7.7,8,0.0,-999.9
2017,1,4,4,4.4,-4.4,1022.6,350,7.7,-9999,0.0,-999.9
2017,1,4,5,3.9,-5.0,1023.2,340,7.2,-9999,0.0,-999.9
2017,1,4,6,3.9,-5.6,1023.3,340,6.7,8,0.0,-999.9
