Year,Month,Day,Hour,Air Temperature,Dew Point Temperature,Sea Level Pressure,Wind Direction,Wind Speed Rate,Sky Condition Total Coverage Code,One Hour Liquid Precipitation Depth,Six Hour Liquid Precipitation Depth
2012,1,1,0,19.4,7.2,1010.6,180,6.7,2,-999.9,-999.9
2012,1,1,1,15.6,6.7,1012.1,180,4.1,2,0.0,-999.9
2012,1,1,2,13.9,7.2,1012.8,190,5.1,0,0.0,-999.9
2012,1,1,3,15.0,7.2,1013.7,240,3.6,0,0.0,-999.9
2012,1,1,4,17.8,0.0,1016.8,340,12.9,0,0.0,-999.9
2012,1,1,5,16.1,-3.9,1019.1,340,9.8,0,0.0,-999.9
2012,1,1,6,13.9,-3.3,1021.0,330,9.8,2,0.0,-999.9
2012,1,1,7,11.7,-1.1,1022.2,330,10.8,2,0.0,-999.9
2012,1,1,8,10.0,0.0,1024.1,330,10.3,4,0.0,-999.9
2012,1,1,9,8.9,0.0,1025.4,340,6.2,4,0.0,-999.9
2012,1,1,10,8.3,0.0,1026.2,340,6.2,0,0.0,-999.9
2012,1,1,11,6.7,0.0,1027.2,320,4.6,0,0.0,-999.9
2012,1,1,12,6.1,-1.1,1028.2,320,4.6,0,0.0,-999.9
2012,1,1,13,5.6,-0.6,1029.4,310,4.1,0,0.0,-999.9
2012,1,1,14,5.0,-1.1,1030.5,310,3.6,2,0.0,-999.9
2012,1,1,15,7.2,-1.1,1032.1,310,4.6,2,0.0,-999.9
2012,1,1,16,9.4,-0.6,1033.4,350,4.1,2,0.0,-999.9
2012,1,1,17,10.6,-1.1,1034.2,330,4.6,2,0.0,-999.9
2012,1,1,18,11.7,-1.7,1034.0,320,2.1,4,0.0,-999.9
2012,1,1,19,12.8,-2.2,1033.6,330,5.1,4,0.0,-999.9
2012,1,1,20,14.4,-2.2,1033.4,340,4.6,4,0.0,-999.9
2012,1,1,21,15.0,-3.9,1032.9,340,5.1,2,0.0,-999.9
2012,1,1,22,15.0,-5.6,1033.3,350,6.2,2,0.0,-999.9
2012,1,1,23,13.3,-5.6,1033.9,360,5.7,2,0.0,-999.9
2012,1,2,0,10.6,-4.4,1034.2,330,4.6,2,0.0,-999.9
2012,1,2,1,10.0,-3.9,1034.2,320,4.6,2,0.0,-999.9
2012,1,2,2,8.9,-3.3,1035.1,320,5.1,0,0.0,-999.9
2012,1,2,3,7.8,-3.3,1035.7,320,5.1,0,0.0,-999.9
2012,1,2,4,7.2,-3.3,1036.0,330,5.1,0,0.0,-999.9
2012,1,2,5,5.6,-3.9,1036.2,340,4.1,0,0.0,-999.9
2012,1,2,6,5.0,-4.4,1036.6,330,4.1,0,0.0,-999.9
2012,1,2,7,3.3,-3.9,1036.7,340,4.6,0,0.0,-999.9
2012,1,2,8,3.9,-4.4,1036.9,340,3.6,0,0.0,-999.9
2012,1,2,9,3.3,-4.4,1036.7,340,3.6,0,0.0,-999.9
2012,1,2,10,3.3,-3.3,1036.9,330,3.6,0,0.0,-999.9
2012,1,2,11,3.3,-3.3,1037.3,330,4.6,0,0.0,-999.9
2012,1,2,12,2.8,-3.3,1037.8,350,4.6,0,0.0,-999.9
2012,1,2,13,1.7,-3.3,1038.5,340,4.1,0,0.0,-999.9
2012,1,2,14,2.2,-3.3,1039.5,340,4.6,0,0.0,-999.9
2012,1,2,15,5.0,-3.3,1040.7,350,4.6,0,0.0,-999.9
2012,1,2,16,7.2,-6.1,1041.6,360,5.1,0,0.0,-999.9
2012,1,2,17,8.3,-7.2,1041.4,10,4.1,0,0.0,-999.9
2012,1,2,18,9.4,-8.9,1040.2,20,5.7,0,0.0,-999.9
2012,1,2,19,10.6,-7.8,1039.0,360,4.6,0,0.0,-999.9
2012,1,2,20,10.6,-7.8,1037.7,320,7.2,0,0.0,-999.9
2012,1,2,21,11.7,-7.8,1036.9,330,5.7,0,0.0,-999.9
2012,1,2,22,12.2,-7.8,1036.5,330,5.1,2,0.0,-999.9
2012,1,2,23,11.1,-7.2,1036.1,320,3.6,2,0.0,-999.9
2012,1,3,0,7.2,-7.2,1036.3,350,3.1,0,0.0,-999.9
2012,1,3,1,6.7,-7.2,1036.3,340,2.6,0,0.0,-999.9
2012,1,3,2,6.7,-5.6,1036.3,320,3.1,0,0.0,-999.9
2012,1,3,3,6.1,-5.6,1035.9,330,4.1,0,0.0,-999.9
2012,1,3,4,4.4,-6.7,1036.0,320,3.6,0,0.0,-999.9
2012,1,3,5,5.0,-6.7,1035.9,300,3.1,0,0.0,-999.9
2012,1,3,6,0.6,-6.7,1035.8,0,0.0,0,0.0,-999.9
2012,1,3,7,1.1,-5.6,1035.4,0,0.0,0,0.0,-999.9
2012,1,3,8,1.7,-6.1,1035.1,0,0.0,0,0.0,-999.9
2012,1,3,9,0.6,-5.6,1034.8,210,2.6,0,0.0,-999.9
2012,1,3,10,0.6,-5.0,1034.1,200,2.1,0,0.0,-999.9
2012,1,3,11,0.6,-4.4,1033.6,210,2.1,0,0.0,-999.9
2012,1,3,12,-0.6,-5.0,1033.8,200,1.5,0,0.0,-999.9
2012,1,3,13,-0.6,-5.0,1033.8,170,1.5,0,0.0,-999.9
2012,1,3,14,-1.1,-5.0,1034.0,0,0.0,0,0.0,-999.9
2012,1,3,15,2.8,-3.3,1033.8,120,1.5,0,0.0,-999.9
2012,1,3,16,7.2,-4.4,1033.3,160,4.1,0,0.0,-999.9
2012,1,3,17,10.0,-4.4,1032.7,170,5.1,0,0.0,-999.9
2012,1,3,18,11.7,-4.4,1031.0,170,6.2,0,0.0,-999.9
2012,1,3,19,12.8,-3.9,1028.9,180,7.2,0,0.0,-999.9
2012,1,3,20,13.9,-3.9,1027.4,170,8.2,0,0.0,-999.9
2012,1,3,21,14.4,-3.9,1025.9,180,10.3,0,0.0,-999.9
2012,1,3,22,14.4,-3.3,1024.9,180,9.3,0,0.0,-999.9
2012,1,3,23,13.3,-2.8,1024.0,180,8.2,0,0.0,-999.9
2012,1,4,0,11.7,-3.3,1024.2,170,6.2,0,0.0,-999.9
2012,1,4,1,11.1,-3.3,1023.9,170,5.7,0,0.0,-999.9
2012,1,4,2,10.0,-3.9,1023.9,170,5.7,0,0.0,-999.9
2012,1,4,3,9.4,-3.9,1023.1,170,5.7,0,0.0,-999.9
2012,1,4,4,9.4,-3.9,1021.8,180,8.2,0,0.0,-999.9
2012,1,4,5,8.9,-4.4,1022.7,200,6.2,0,0.0,-999.9
2012,1,4,6,7.8,-3.9,1022.6,190,5.1,0,0.0,-999.9
2012,1,4,7,7.8,-3.9,1022.0,180,4.1,0,0.0,-999.9
2012,1,4,8,6.1,-3.3,1022.2,180,3.6,0,0.0,-999.9
2012,1,4,9,6.7,-2.8,1022.2,170,4.6,0,0.0,-999.9
2012,1,4,10,5.6,-1.1,1021.9,180,3.6,2,0.0,-999.9
2012,1,4,11,4.4,-0.6,1022.0,190,3.6,2,0.0,-999.9
2012,1,4,12,3.9,0.0,1022.3,180,3.1,2,0.0,-999.9
2012,1,4,13,3.3,0.6,1022.6,180,3.6,4,0.0,-999.9
2012,1,4,14,3.3,0.6,1023.4,180,3.6,4,0.0,-999.9
2012,1,4,15,5.0,2.2,1024.6,0,0.0,4,0.0,-999.9
2012,1,4,16,7.8,1.7,1025.6,210,1.5,7,0.0,-999.9
2012,1,4,17,9.4,0.6,1026.0,0,0.0,7,0.0,-999.9
2012,1,4,18,12.8,-0.6,1025.6,340,3.1,6,0.0,-999.9
2012,1,4,19,13.3,-1.1,1025.0,30,4.6,7,0.0,-999.9
2012,1,4,20,14.4,-0.6,1024.9,30,3.6,4,0.0,-999.9
2012,1,4,21,15.6,0.0,1024.7,10,2.1,4,0.0,-999.9
2012,1,4,22,16.1,0.6,1025.1,360,4.1,4,0.0,-999.9
2012,1,4,23,14.4,1.1,1025.5,20,4.1,2,0.0,-999.9
2012,1,5,0,11.1,0.6,1025.6,10,2.1,2,0.0,-999.9
2012,1,5,1,11.1,0.6,1026.0,0,0.0,0,0.0,-999.9
2012,1,5,2,10.6,0.6,1026.1,0,0.0,0,0.0,-999.9
2012,1,5,3,10.0,0.6,1026.3,0,0.0,0,0.0,-999.9
2012,1,5,4,8.9,0.6,1027.1,310,2.6,0,0.0,-999.9
2012,1,5,5,8.3,0.6,1026.9,300,2.6,0,0.0,-999.9
2012,1,5,6,5.6,0.6,1026.6,330,3.6,0,0.0,-999.9
2012,1,5,7,4.4,0.0,1026.2,330,2.1,0,0.0,-999.9
